trading_name,eStore_code
ADV - Advance Whitening - FEL,ADV FEL
AGG - Australian Gift Group - FEL,AGG LAV
AGN - Ambition Group NZ - MW1,AGN
Returns - AGN - Ambition Group NZ -,AGN
ALY - Alya Skin - LAV,ALY
ASL - Aussielent - LAV,ASL
BBD - Bali Body - LAV,BBD
BBL - Baseblocks - MJD,BBL
BEN - Bensons Trading - LAV,BEN LAV
BFT - Black Fitness - FEL,BFT
Returns - Hairhouse Warehouse BHW,BHW
BLE - Bare Blends - LAV,BLE
Returns - Bare Blends,BLE
BLU- iBlush-MW1,BLU
BMA - Body Massager Aus - ESK,BMA
BNB - Belle and Bloom - MJD,BNB
BNB - Belle and Bloom - NSW,BNB
BNK - Project Blank - LAV,BNK LAV
BOO - Boody - FEL,BOO
Returns - Boody,BOO
BRM - Brand Merchant - FEL,BRM
CBG - Cable Geek - LAV,CBG
CBX - Costume Box - ESK,CBX ESK
Costume Box C/O eStore Logistics -,CBX ESK
CCD - Cheeky Chickadee - LAV,CCD
CHW - Hairhouse Warehouse - FEL,CHW
Returns - Hairhouse Warehouse CHW,CHW
CKD - Crockd - MJD,CKD MJD
CRL - Carlton Football Club - LAV,CRL
CVA - Canningvale Australia - FEL,CVA LAV
Returns - Canningvale Australia,CVA LAV
CWC - Coffee and Wine Co - ESK,CWC ESK
CWC - Coffee and Wine Co - LAV,CWC LAV
Returns - Coffee and Wine Co,CWC LAV
DRY - Dry Paws,DRY
DZD - Dazy Dog - MJD,DZD
ECO - Ecoriginals - ESK,ECO ESK
ECO - Ecoriginals - LAV,ECO LAV
Returns - Ecoriginals,ECO LAV
ECR - Epic Crunch - LAV,ECR
Returns - ECR - Epic Crunch - LAV,ECR
EDE - Edible Earth - MW1,EDE
EFC - Essendon - LAV,EFC
ENP - EcoNaps - ESK,ENP 
Returns - KJF - Kojofit - MJD,ESA
ESL - eStore Internal Acct - DER,ESL DER
ESL - eStore Internal Acct - FEL,ESL FEL
ESL - eStore Internal Acct - HOL,ESL HOL
ESL - eStore Internal Acct - MJD,ESL MJD
ESL - eStore Internal Acct - MW1,ESL MW1
eStore Logistics Pty Ltd,ESL OH
ESL - eStore Internal Acct - VUL,ESL VUL
ETQ - Ethique - MJD,ETQ MJD
ETT - Ettitude - LAV,ETT
Returns - Ettitude,ETT
FEV - First Ever - MW1,FEV
FRE - Fremantle Football Club - MW1,FRE
FRO - Froothie - LAV,FRO LAV
FUN - fun.com - MJD,FUN
Returns - FUN - fun.com - MJD,FUN
GBE - GB eCommerce - LAV,GBE
